source,image_path,sex,height,weight,bmi,x1,y1,x2,y2,confidence,image_width,image_height,image_area,bbox_width,bbox_height,bbox_area,bbox_ratio,has_human
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000023_F_20_175260_7620352.jpg,0.0,1.7526,76.20352,24.809,75,24,1348,3709,0.990523636341095,1348,3840,5176320,1273,3685,4691005,0.9062432384396637,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000026_F_20_160020_4195730.jpg,0.0,1.6002,41.9573,16.3855,5,0,1630,3681,0.9942881464958191,1655,3762,6226110,1625,3681,5981625,0.9607323031555819,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000027_F_21_165100_7672334.jpg,0.0,1.651,76.72334,28.1471,10,0,779,2532,0.9762558341026306,779,2551,1987229,769,2532,1947108,0.9798105804615371,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000028_F_20_149860_6214216.jpg,0.0,1.4986,62.14216,27.6704,7,0,455,1245,0.9972767233848572,460,1245,572700,448,1245,557760,0.9739130434782609,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000029_F_21_152400_6758526.jpg,0.0,1.524,67.58526,29.0993,68,65,745,1482,0.9647946953773499,751,1880,1411880,677,1417,959309,0.6794550528373516,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000030_F_21_154940_7847149.jpg,0.0,1.5494,78.47149,32.6877,1,0,878,1923,0.9445016980171204,967,1947,1882749,877,1923,1686471,0.8957492475098912,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000034_F_21_180340_10750140.jpg,0.0,1.8034,107.5014,33.0545,133,0,1046,2509,0.986335277557373,1097,2522,2766634,913,2509,2290717,0.8279797761467546,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000035_F_21_165100_11929480.jpg,0.0,1.651,119.2948,43.765,31,11,1186,2744,0.9945002794265747,1356,2767,3752052,1155,2733,3156615,0.8413036386489313,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000036_F_21_165100_5987420.jpg,0.0,1.651,59.8742,21.9657,117,0,1169,3011,0.97078537940979,1187,3011,3574057,1052,3011,3167572,0.8862679022746419,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000037_F_21_170180_6803886.jpg,0.0,1.7018,68.03886,23.4931,43,29,335,1100,0.9916607737541199,347,1100,381700,292,1071,312732,0.8193135970657585,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000038_F_21_172720_7484274.jpg,0.0,1.7272,74.84274,25.0879,24,25,812,2575,0.9794290661811829,820,2575,2111500,788,2550,2009400,0.9516457494672034,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000039_F_21_154940_4535924.jpg,0.0,1.5494,45.35924,18.8946,48,31,628,1885,0.9968308806419373,654,1902,1243908,580,1854,1075320,0.8644690764911874,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000039_F_21_154940_7257478.jpg,0.0,1.5494,72.57478,30.2314,21,4,697,1053,0.9631062150001526,710,1453,1031630,676,1049,709124,0.6873821040489323,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000040_F_21_160020_5942060.jpg,0.0,1.6002,59.4206,23.2054,121,0,732,1684,0.9811344146728516,757,1689,1278573,611,1684,1028924,0.8047440388620751,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000042_F_21_162560_11339810.jpg,0.0,1.6256,113.3981,42.912,29,6,1043,2438,0.9934443235397339,1063,2891,3073133,1014,2432,2466048,0.8024540428286052,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000044_F_21_167640_5715264.jpg,0.0,1.6764,57.15264,20.3367,54,0,784,2833,0.9848480820655823,832,2834,2357888,730,2833,2068090,0.8770942470549916,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000045_F_21_170180_6758526.jpg,0.0,1.7018,67.58526,23.3365,4,4,416,647,0.9227389693260193,445,972,432540,412,643,264916,0.612465899107597,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000046_F_21_172720_7574993.jpg,0.0,1.7272,75.74993,25.392,5,10,603,1738,0.9822723865509033,615,1940,1193100,598,1728,1033344,0.866100075433744,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000046_F_21_172720_8799693.jpg,0.0,1.7272,87.99693,29.4973,22,0,825,2048,0.994265615940094,869,2048,1779712,803,2048,1644544,0.9240506329113924,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000047_F_21_185420_8346100.jpg,0.0,1.8542,83.461,24.2756,27,36,549,1488,0.9808550477027893,554,1488,824352,522,1452,757944,0.9194421800395948,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000047_F_21_185420_9525440.jpg,0.0,1.8542,95.2544,27.7059,18,28,444,1388,0.996006190776825,481,1436,690716,426,1360,579360,0.8387817858569948,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000048_F_21_185420_9979033.jpg,0.0,1.8542,99.79033,29.0252,9,0,856,2113,0.9886239767074585,856,2127,1820712,847,2113,1789711,0.9829731445720136,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000049_F_22_149860_8935770.jpg,0.0,1.4986,89.3577,39.7888,16,0,942,2632,0.9752539396286011,967,2690,2601230,926,2632,2437232,0.936953671916747,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000050_F_22_142240_11793402.jpg,0.0,1.4224,117.93402,58.2902,14,0,971,2150,0.9819059371948242,983,2400,2359200,957,2150,2057550,0.8721388606307223,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000050_F_22_142240_8845052.jpg,0.0,1.4224,88.45052,43.7177,6,51,892,2361,0.9946644306182861,915,2382,2179530,886,2310,2046660,0.9390373153845095,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000051_F_22_152400_7302838.jpg,0.0,1.524,73.02838,31.4428,59,2,649,1315,0.9992306232452393,662,1439,952618,590,1313,774670,0.8132010942476418,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000052_F_23_157480_6214216.jpg,0.0,1.5748,62.14216,25.0574,18,138,398,1071,0.9834497570991516,404,1071,432684,380,933,354540,0.8193970657569959,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000053_F_22_180340_10886218.jpg,0.0,1.8034,108.86218,33.4729,14,29,669,1775,0.9970318078994751,729,1920,1399680,655,1746,1143630,0.817065329218107,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000053_F_22_180340_8618256.jpg,0.0,1.8034,86.18256,26.4994,23,0,561,1783,0.9958577752113342,593,1783,1057319,538,1783,959254,0.9072512647554806,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000054_F_22_157480_5851342.jpg,0.0,1.5748,58.51342,23.5942,9,9,656,1432,0.9771450757980347,663,1534,1017042,647,1423,920681,0.9052536670068689,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000056_F_22_167640_5805983.png,0.0,1.6764,58.05983,20.6595,1,10,282,790,0.9887951612472534,284,864,245376,281,780,219180,0.8932413928012519,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000056_F_22_167640_7030682.png,0.0,1.6764,70.30682,25.0174,2,0,220,677,0.9760574698448181,241,806,194246,218,677,147586,0.7597891333669676,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000057_F_22_172720_14061364.jpg,0.0,1.7272,140.61364,47.1349,60,1,542,672,0.9975361824035645,549,711,390339,482,671,323422,0.8285669635880606,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000057_F_22_172720_7166759.jpg,0.0,1.7272,71.66759,24.0236,66,36,897,1315,0.9879611134529114,911,1337,1218007,831,1279,1062849,0.8726132115825278,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000059_F_23_144780_11804742.jpg,0.0,1.4478,118.04742,56.317,82,0,2316,4765,0.9760710000991821,2630,4765,12531950,2234,4765,10645010,0.8494296577946768,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000061_F_23_149860_6577090.jpg,0.0,1.4986,65.7709,29.2862,3,14,760,1869,0.9948467016220093,779,1882,1466078,757,1855,1404235,0.95781738761512,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000062_F_23_154940_5715264.png,0.0,1.5494,57.15264,23.8072,22,5,336,682,0.9786434769630432,339,788,267132,314,677,212578,0.7957788658790411,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000063_F_23_177800_8391459.png,0.0,1.778,83.91459,26.5445,47,0,950,1731,0.9803479313850403,950,2039,1937050,903,1731,1563093,0.8069450969257376,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000063_F_23_177800_9979033.png,0.0,1.778,99.79033,31.5664,0,0,928,1895,0.9689197540283203,1009,1896,1913064,928,1895,1758560,0.919237411816855,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000064_F_23_160020_7756430.jpg,0.0,1.6002,77.5643,30.291,9,236,1401,2681,0.9757532477378845,1471,2710,3986410,1392,2445,3403440,0.8537606518145399,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000066_F_23_165100_9298644.jpg,0.0,1.651,92.98644,34.1134,0,40,1470,4153,0.9933465719223022,1767,4604,8135268,1470,4113,6046110,0.7431973968159378,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000067_F_23_165100_12473791.png,0.0,1.651,124.73791,45.7619,0,6,225,410,0.9557217955589294,229,517,118393,225,404,90900,0.7677818789962244,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000069_F_23_177800_10886218.jpg,0.0,1.778,108.86218,34.4361,103,0,1270,3000,0.9973064661026001,1367,3000,4101000,1167,3000,3501000,0.8536942209217264,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000069_F_23_177800_8346100.jpg,0.0,1.778,83.461,26.401,0,22,1134,2974,0.9963656663894653,1218,2976,3624768,1134,2952,3347568,0.9235261401557285,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000072_F_23_185420_9525440.jpg,0.0,1.8542,95.2544,27.7059,28,36,771,2510,0.9704778790473938,844,2510,2118440,743,2474,1838182,0.8677054813919677,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000075_F_24_149860_9071848.jpg,0.0,1.4986,90.71848,40.3947,10,14,973,1739,0.9796309471130371,997,2271,2264187,963,1725,1661175,0.7336739412424857,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000076_F_24_154940_6123497.jpg,0.0,1.5494,61.23497,25.5078,5,256,1040,2262,0.9906762838363647,1048,2299,2409352,1035,2006,2076210,0.8617296268872294,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000077_F_24_154940_13154180.png,0.0,1.5494,131.5418,54.7945,8,0,601,1277,0.9780746698379517,618,1277,789186,593,1277,757261,0.959546925566343,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000078_F_30_172720_9525440.jpg,0.0,1.7272,95.2544,31.9301,46,0,387,870,0.9958844780921936,427,873,372771,341,870,296670,0.7958505355835084,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000079_F_24_180340_8073945.jpg,0.0,1.8034,80.73945,24.8257,74,0,739,2010,0.9901949763298035,751,2010,1509510,665,2010,1336650,0.8854860186418109,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000080_F_24_162560_7166759.jpg,0.0,1.6256,71.66759,27.1204,4,0,709,1984,0.9906492829322815,716,1984,1420544,705,1984,1398720,0.9846368715083799,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000083_F_24_167640_8391459.jpg,0.0,1.6764,83.91459,29.8595,0,6,805,1206,0.9832300543785095,872,1464,1276608,805,1200,966000,0.7566927357497368,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000084_F_24_167640_12564509.jpg,0.0,1.6764,125.64509,44.7085,46,10,907,1834,0.9989270567893982,950,1855,1762250,861,1824,1570464,0.8911698113207547,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000084_F_24_167640_8482178.jpg,0.0,1.6764,84.82178,30.1823,82,0,987,1674,0.99864262342453,1001,1788,1789788,905,1674,1514970,0.8464522055126082,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000085_F_24_167640_7452522.png,0.0,1.6764,74.52522,26.5184,25,1,273,643,0.9856204986572266,280,677,189560,248,642,159216,0.839924034606457,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000086_F_32_157480_6350294.jpg,0.0,1.5748,63.50294,25.6061,5,12,406,1542,0.9937679767608643,414,1542,638388,401,1530,613530,0.961061298144702,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000086_F_32_157480_8527537.jpg,0.0,1.5748,85.27537,34.3853,0,18,521,1572,0.9958452582359314,547,1572,859884,521,1554,809634,0.9415618850914774,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000087_F_24_170180_7438915.jpg,0.0,1.7018,74.38915,25.6858,22,49,680,1841,0.9596242308616638,727,1853,1347131,658,1792,1179136,0.8752942364179875,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000088_F_24_177800_10886218.jpg,0.0,1.778,108.86218,34.4361,41,130,1033,2849,0.9975751042366028,1042,2869,2989498,992,2719,2697248,0.9022411120529266,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000089_F_24_180340_9298644.jpg,0.0,1.8034,92.98644,28.5914,6,11,409,963,0.9870239496231079,416,1125,468000,403,952,383656,0.8197777777777778,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000090_F_23_152400_5443109.jpg,0.0,1.524,54.43109,23.4357,18,0,1239,3053,0.9986635446548462,1254,3053,3828462,1221,3053,3727713,0.9736842105263158,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000090_F_23_152400_6350294.jpg,0.0,1.524,63.50294,27.3416,25,0,1579,3329,0.9979514479637146,1635,3329,5442915,1554,3329,5173266,0.9504587155963303,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000091_F_24_180340_8708974.jpg,0.0,1.8034,87.08974,26.7783,94,31,1064,2222,0.9924281239509583,1083,2332,2525556,970,2191,2125270,0.8415057912000368,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000092_F_24_157480_10665227.jpg,0.0,1.5748,106.65227,43.005,6,0,609,1737,0.9942623972892761,609,1759,1071231,603,1737,1047411,0.9777638996630978,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000092_F_24_157480_4853439.jpg,0.0,1.5748,48.53439,19.5704,8,0,673,1564,0.9935775399208069,684,1655,1132020,665,1564,1040060,0.9187646861362874,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000094_F_24_165100_6078138.jpg,0.0,1.651,60.78138,22.2985,29,0,1310,3367,0.9962298274040222,1310,3394,4446140,1281,3367,4313127,0.970083488149271,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000097_F_34_160020_6350294.jpg,0.0,1.6002,63.50294,24.7996,5,42,559,1528,0.9928752183914185,596,1552,924992,554,1486,823244,0.8900012108212828,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000099_F_25_172720_6350294.jpg,0.0,1.7272,63.50294,21.2867,18,0,590,1845,0.9963162541389465,634,1845,1169730,572,1845,1055340,0.9022082018927445,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000100_F_19_172720_6350294.jpg,0.0,1.7272,63.50294,21.2867,56,29,626,1131,0.9970366954803467,634,1391,881894,570,1102,628140,0.7122624714534853,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000100_F_19_172720_9207926.jpg,0.0,1.7272,92.07926,30.8657,1,49,426,1206,0.9918859004974365,448,1559,698432,425,1157,491725,0.7040413383121048,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000102_F_25_162560_6622449.jpg,0.0,1.6256,66.22449,25.0606,11,17,309,922,0.9981675148010254,328,928,304384,298,905,269690,0.8860189760302776,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000103_F_30_170180_6350294.jpg,0.0,1.7018,63.50294,21.9269,8,79,380,614,0.9925752878189087,456,788,359328,372,535,199020,0.5538672188084425,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000107_F_25_165100_5579187.jpg,0.0,1.651,55.79187,20.4681,57,14,540,1827,0.9961987137794495,550,1847,1015850,483,1813,875679,0.8620160456760348,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000109_F_25_170180_6985323.jpg,0.0,1.7018,69.85323,24.1196,5,100,522,1821,0.9980971217155457,537,1868,1003116,517,1721,889757,0.8869931294087623,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000111_F_26_157480_9071848.png,0.0,1.5748,90.71848,36.5801,7,16,334,768,0.9969321489334106,344,787,270728,327,752,245904,0.9083064921249372,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000113_F_19_162560_6350294.jpg,0.0,1.6256,63.50294,24.0307,35,7,446,926,0.949138879776001,456,1153,525768,411,919,377709,0.7183948053133702,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000115_F_26_162560_13154180.jpg,0.0,1.6256,131.5418,49.7779,129,0,1470,3061,0.9974237680435181,1515,3061,4637415,1341,3061,4104801,0.8851485148514852,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000115_F_26_162560_7257478.jpg,0.0,1.6256,72.57478,27.4637,46,32,1029,3323,0.9987601041793823,1029,3400,3498600,983,3291,3235053,0.9246707254330303,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000117_F_26_162560_13834567.jpg,0.0,1.6256,138.34567,52.3526,12,22,850,1312,0.9851438403129578,859,1458,1252422,838,1290,1081020,0.8631435730129301,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000118_F_26_165100_12972743.jpg,0.0,1.651,129.72743,47.5924,7,17,781,993,0.9916503429412842,794,995,790030,774,976,755424,0.956196600129109,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000119_F_26_165100_7484274.jpg,0.0,1.651,74.84274,27.4572,49,0,602,1522,0.9869345426559448,662,1522,1007564,553,1522,841666,0.8353474320241692,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000121_F_26_167640_7076040.jpg,0.0,1.6764,70.7604,25.1788,24,0,541,1772,0.9957302212715149,579,1844,1067676,517,1772,916124,0.8580543161033871,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000122_F_26_170180_4032436.jpg,0.0,1.7018,40.32436,13.9236,11,96,776,1953,0.9826781153678894,805,1968,1584240,765,1857,1420605,0.8967107256476291,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000122_F_26_170180_6091746.jpg,0.0,1.7018,60.91746,21.0341,49,0,901,1888,0.9887003302574158,938,1896,1778448,852,1888,1608576,0.9044830099052658,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000124_F_27_175260_7212119.jpg,0.0,1.7526,72.12119,23.48,76,0,716,1183,0.9904196858406067,724,1373,994052,640,1183,757120,0.7616502959603723,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000125_F_21_162560_7121401.jpg,0.0,1.6256,71.21401,26.9487,6,0,568,1249,0.9963833093643188,573,1320,756360,562,1249,701938,0.9280474906129357,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000126_F_26_170180_9525440.jpg,0.0,1.7018,95.2544,32.8903,9,0,568,1436,0.9986159801483154,596,1436,855856,559,1436,802724,0.9379194630872483,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000127_F_26_172720_8482178.jpg,0.0,1.7272,84.82178,28.433,0,5,570,1104,0.9736651182174683,570,1332,759240,570,1099,626430,0.825075075075075,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000130_F_26_172720_15875734.jpg,0.0,1.7272,158.75734,53.2168,8,76,960,2680,0.9962844848632812,1118,2681,2997358,952,2604,2479008,0.8270643680201031,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000131_F_26_157480_12428432.jpg,0.0,1.5748,124.28432,50.1147,23,12,908,1851,0.9966636300086975,914,1967,1797838,885,1839,1627515,0.905262320631781,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000131_F_26_157480_16238608.jpg,0.0,1.5748,162.38608,65.4784,59,26,861,1373,0.9908140301704407,861,2048,1763328,802,1347,1080294,0.6126449531794426,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000133_F_26_170180_10568703.jpg,0.0,1.7018,105.68703,36.4926,118,36,1227,2973,0.9688730239868164,1245,3160,3934200,1109,2937,3257133,0.827902241878908,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000133_F_26_170180_7665712.jpg,0.0,1.7018,76.65712,26.4689,85,120,1019,3365,0.9442555904388428,1035,3365,3482775,934,3245,3030830,0.8702342241459755,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000134_F_25_149860_5125594.jpg,0.0,1.4986,51.25594,22.823,124,24,1447,2852,0.9828456044197083,1454,2852,4146808,1323,2828,3741444,0.902246740143262,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000134_F_25_149860_6350294.jpg,0.0,1.4986,63.50294,28.2763,27,7,1196,2732,0.9836800694465637,1209,2896,3501264,1169,2725,3185525,0.9098214244912695,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000136_F_27_144780_4717361.jpg,0.0,1.4478,47.17361,22.5052,15,1,328,903,0.9951837658882141,352,966,340032,313,902,282326,0.8302924430641822,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000137_F_27_177800_6577090.jpg,0.0,1.778,65.7709,20.8051,25,122,846,2835,0.9940336346626282,846,2882,2438172,821,2713,2227373,0.9135421947262129,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000138_F_27_177800_7438915.jpg,0.0,1.778,74.38915,23.5313,46,0,731,2048,0.9951789379119873,761,2048,1558528,685,2048,1402880,0.900131406044678,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000139_F_27_162560_10115111.jpg,0.0,1.6256,101.15111,38.2775,38,0,903,1910,0.9943575263023376,911,1910,1740010,865,1910,1652150,0.9495060373216246,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000139_F_27_162560_7711071.jpg,0.0,1.6256,77.11071,29.1801,14,59,682,1684,0.958554744720459,692,1943,1344556,668,1625,1085500,0.8073297058657282,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000140_F_27_177800_7574993.jpg,0.0,1.778,75.74993,23.9618,25,3,607,1502,0.9960675239562988,615,1502,923730,582,1499,872418,0.9444513007047514,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000142_F_27_157480_6939964.jpg,0.0,1.5748,69.39964,27.9838,36,87,695,1627,0.9967117309570312,755,1666,1257830,659,1540,1014860,0.8068339918748957,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000143_F_27_162560_5034876.png,0.0,1.6256,50.34876,19.0529,17,9,381,1218,0.9990108013153076,382,1218,465276,364,1209,440076,0.9458385990250948,True
